,Unnamed: 0,Date,v,final_v,ml_v,h,final_h,ml_h,total_open,total_close,spread_open,spread_close,gameid,margin,vegas_home_win_prob,vegas_away_win_prob,home_rating,away_rating,home_win_prob,away_win_prob,pred_spread,spread_diff_vegas,vegas_spread_winprob,bet_size,bet_team,pred_error,spread_outcome,home_win_ats,pred_correct,wealth
1083,1083,322,SanAntonio,105,220,Houston,111,-270,220.0,221.5,-5.5,-6.0,S105H111,-6,0.7297,0.3125,1628.4958806175957,1585.4509165848795,0.652,0.348,-3.8944630011684387,2.1055369988315613,0.44020000000000004,0.018894999999999978,SanAntonio,-2.1055369988315613,-1,1,0.0,56.59073418208085
1084,1084,322,Miami,87,270,Milwaukee,116,-340,220.0,218.0,-9.5,-7.5,M87M116,-29,0.7727,0.2703,1654.936817289603,1518.2417272743028,0.7626,0.23740000000000006,-7.239110357689291,0.2608896423107092,0.49260000000000004,0.0,,-21.76088964231071,-1,-1,1.0,56.59073418208085
1085,1085,322,Brooklyn,111,-140,LALakers,106,120,228.5,232.5,0.0,2.5,B111L106,5,0.4545,0.5833,1424.6552463289447,1500.8488858782794,0.4853,0.5146999999999999,0.3640585553333803,-2.13594144466662,0.5606,-0.019315000000000006,,4.63594144466662,1,1,1.0,55.49768415135396
1086,1086,323,Boston,117,-180,Charlotte,124,150,222.0,222.0,3.5,4.0,B117C124,-7,0.4,0.6429,1448.5636454782123,1573.777120440681,0.4156,0.5844,2.1147669629453145,-1.8852330370546855,0.5536,-0.015639999999999977,,-9.114766962945314,-1,-1,0.0,56.28676031510594
1087,1087,323,Miami,113,100,Washington,108,-120,221.5,220.5,0.0,-1.0,M113W108,5,0.5455,0.5,1438.249742817335,1513.4930739251943,0.4867,0.5133,0.33011896813783487,1.330118968137835,0.46220000000000006,0.007344999999999969,Miami,4.6698810318621655,1,1,0.0,56.66260236466453
1088,1088,323,Philadelphia,127,-330,Atlanta,129,260,235.5,236.5,8.0,7.5,P127A129,-2,0.2778,0.7674,1392.961123917369,1629.1190555026133,0.273,0.727,6.077068985187298,-1.4229310148127023,0.5405,-0.008762500000000019,,-8.077068985187298,-1,-1,0.0,57.11397150395578
1089,1089,323,Minnesota,112,-105,Memphis,99,-115,216.5,217.0,-1.0,-1.0,M112M99,13,0.5349,0.5122,1421.0767511209924,1455.651078817358,0.5451,0.45489999999999997,-1.1223454394155152,-0.12234543941551523,0.5035000000000001,0.0,,14.122345439415515,1,1,1.0,57.11397150395578
1090,1090,323,Utah,114,-750,Chicago,83,525,220.5,213.0,10.5,11.0,U114C83,31,0.16,0.8824,1372.4900397678198,1587.3339166878613,0.298,0.702,5.3158527471443415,-5.6841472528556585,0.6576,-0.07023999999999998,,25.68414725285566,1,1,1.0,53.10228614551793
1091,1091,323,Dallas,126,800,GoldenState,91,-1400,225.5,219.5,-16.0,-13.5,D126G91,35,0.9333,0.1111,1657.5564543093817,1394.232669168108,0.8694,0.13060000000000005,-11.761563755045488,1.7384362449545119,0.4506,0.013435000000000008,Dallas,46.761563755045486,1,1,0.0,53.75085815857705
1092,1092,323,Detroit,112,190,Portland,117,-240,216.5,215.5,-4.0,-5.5,D112P117,-5,0.7059,0.3448,1604.7917991796598,1527.7893380511223,0.6949,0.30510000000000004,-5.107230754590627,0.3927692454093732,0.4888,0.0,,0.10723075459062681,1,1,0.0,53.75085815857705
